time,frequency,confidence,note
0.1,86.95097090154958,0.8769913,F2
0.24,86.92781464189572,0.914897,F2
0.36,87.0840574313631,0.8920042,F2
0.52,92.32179133629019,0.839361,F♯2
0.7,92.30885721894555,0.85511196,F♯2
1.06,97.77183773260867,0.8887698,G2
1.34,97.96344964328537,0.92076814,G2
1.58,103.78734103657857,0.82738024,G♯2
1.76,104.07670584263403,0.83821,G♯2
1.92,103.55206781876556,0.8165574,G♯2
2.06,109.87022819719172,0.80292696,A2
2.1,109.96813859972539,0.9040786,A2
2.3,109.85202241973735,0.8089975,A2
2.38,109.99468309996641,0.8783881,A2
2.54,116.55433115831244,0.74648917,A♯2
2.56,115.98490087543955,0.9017897,A♯2
2.72,116.25272882865622,0.9017974,A♯2
2.8,116.30881419176791,0.90864515,A♯2
3.06,123.17840477261021,0.8044447,B2
3.3,122.91531589263033,0.86127204,B2
3.54,130.92444636112293,0.8816919,C3
3.56,130.47148425299736,0.8761948,C3
3.68,130.6740509583114,0.916523,C3
3.86,130.7956992907847,0.8875991,C3
4.04,139.41552669881634,0.830856,C♯3
4.08,138.10930324837443,0.87264687,C♯3
4.24,138.38048405766773,0.93915623,C♯3
4.3,138.1751921980159,0.89672756,C♯3
4.34,137.96105821621623,0.89177656,C♯3
4.38,138.02833742967476,0.8924571,C♯3
4.54,146.39692375164356,0.8839959,D3
4.68,146.90075367331048,0.9498051,D3
4.96,147.32835383242502,0.89284426,D3
5.06,155.6289234115152,0.8811513,D♯3
5.22,155.3441477997692,0.91482615,D♯3
5.26,155.25169666558557,0.9318123,D♯3
5.44,156.87199517668768,0.78724766,D♯3
5.58,163.62617997873812,0.8932702,E3
5.64,164.27538031163726,0.9039105,E3
5.72,164.03116673532224,0.93371046,E3
5.82,164.0591586861177,0.9382846,E3
